Total potential Indonesian titles found: 135
L  17 | dei_focus_a_tkr                        | Form the Tentara Keamanan Rakyat                   | matched: ['rakyat']
L 577 | INS_infantry_equipment_2               | Senapan Gerilya Pindad                             | matched: ['gerilya']
L 584 | INS_motorized_equipment_1              | Truk Angkut Militer Braat                          | matched: ['militer']
L 640 | dei_flavor.17.t                        | Commemoration of the Sumpah Pemuda                 | matched: ['sumpah']
L 698 | dei_focus_a_pancasila                  | Kedaulatan Falsafah Pancasila                      | matched: ['kedaulatan']
L 708 | dei_path_a.11.d                        | Before hundreds of thousands gathered in the grand square of Yogyakarta, the President steps up to the rostrum. In a thunderous speech, he issues the Tri Komando Rakyat: thwart the establishment of a puppet colonial state, raise the Sang Saka Merah Putih in West Irian, and prepare total mobilization to defend national independence. | matched: ['rakyat']
L 712 | dei_path_a.12.a                        | Kembali ke UUD 1945!                               | matched: ['ke']
L 714 | dei_path_a.13.d                        | Facing perceived neo-colonial encircling maneuvers on the northern frontier, the Republic issues the Dwi Komando Rakyat (*Dwikora*). Volunteers and commandos prepare along the maritime straits, determined to safeguard revolutionary sovereignty against imperialist encroachment. | matched: ['rakyat']
L 726 | dei_focus_b_angkatan_federal           | Angkatan Bersenjata Federalis                      | matched: ['angkatan']
L 758 | dei_focus_c_komune_tani                | Kolektivisasi Komune Tani                          | matched: ['komune', 'tani']
L 760 | dei_focus_c_sita_aset_asing            | Nasionalisasi Aset Imperialis                      | matched: ['aset']
L 762 | dei_focus_c_angkatan_kelima            | Pembentukan Angkatan Kelima                        | matched: ['pembentukan', 'angkatan', 'kelima']
L 766 | dei_focus_c_pakta_asia_merah           | Poros Anti-Imperialis Asia                         | matched: ['anti']
L 768 | dei_focus_c_pembangunan_semesta        | Pembangunan Semesta Berencana                      | matched: ['pembangunan', 'semesta']
L 773 | dei_path_c.9.d                         | Red banners wave over rice paddies and rubber estates as thousands of peasant families join together in socialist agrarian communes (*Komune Tani*). Landlord estates have been expropriated and redistributed to those who cultivate the soil. | matched: ['komune', 'tani']
L 774 | dei_path_c.9.a                         | Land to the tiller! Hidup Buruh dan Tani!          | matched: ['buruh', 'dan', 'tani']
L 779 | dei_path_c.11.d                        | Crates of rifles, submachine guns, and field radios are distributed to worker and peasant militias in industrial suburbs and rural villages. The newly inaugurated Angkatan Kelima stands ready to defend the revolution with blood and iron. | matched: ['angkatan', 'kelima']
L 784 | dei_path_c.13.t                        | The Red Asian Anti-Imperialist Treaty              | matched: ['anti']
L 792 | dei_focus_d_dewan_revolusi             | Dewan Revolusi Militer Tertinggi                   | matched: ['dewan', 'militer', 'tertinggi']
L 794 | dei_focus_d_karyawan_abri              | Doktrin Dwifungsi ABRI                             | matched: ['dwifungsi']
L 796 | dei_focus_d_benteng_samudra            | Benteng Samudra Nusantara                          | matched: ['benteng', 'samudra']
L 800 | dei_focus_d_komando_selat              | Pusat Komando Strategis Selat Malaka               | matched: ['pusat', 'selat', 'malaka']
L 802 | dei_focus_d_hegemoni_selatan           | Hegemoni Militer Samudra Hindia                    | matched: ['hegemoni', 'militer', 'samudra']
L 809 | dei_path_d.10.t                        | Implementation of Dwifungsi ABRI                   | matched: ['dwifungsi']
L 810 | dei_path_d.10.d                        | Senior army, navy, and air force commanders are officially appointed as ministers, governors, and directors of state industrial monopolies. The Dwifungsi doctrine binds national development and martial command into an inseparable whole. | matched: ['dwifungsi']
L 826 | dei_focus_e_baitul_mal                 | Pendirian Baitul Mal Pusat                         | matched: ['pendirian', 'pusat']
L 828 | dei_focus_e_mahkamah_syariah           | Mahkamah Syariah Tertinggi                         | matched: ['mahkamah', 'syariah', 'tertinggi']
L 830 | dei_focus_e_akademi_mujahidin          | Akademi Militer Mujahidin                          | matched: ['akademi', 'militer', 'mujahidin']
L 832 | dei_focus_e_hapus_riba                 | Sistem Keuangan Muamalah Tanpa Riba                | matched: ['sistem', 'keuangan', 'tanpa', 'riba']
L 834 | dei_focus_e_liga_muslim                | Liga Perjuangan Muslim Sedunia                     | matched: ['liga', 'muslim']
L 836 | dei_focus_e_khilafah_nusantara         | Khilafah Islamiyah Nusantara                       | matched: ['khilafah']
L 846 | dei_path_e.11.t                        | First Graduates of the Mujahidin Academy           | matched: ['mujahidin']
L 847 | dei_path_e.11.d                        | Cadets dressed in green uniforms with silver crescent insignias take their solemn oath of jihad and loyalty to the state. These Mujahidin commanders combine battlefield tacticians with deep religious scholarship. | matched: ['mujahidin']
L 849 | dei_path_e.12.t                        | Abolition of Riba and Islamic Banking              | matched: ['riba']
L 853 | dei_path_e.13.d                        | Envoys from Egypt, Syria, Yemen, Pakistan, and Malaya gather in Java to inaugurate the World Muslim Solidarity League. Pledges of mutual defense and religious cooperation echo across the hall. | matched: ['muslim']
L 855 | dei_path_e.14.t                        | Proclamation of Khilafah Nusantara                 | matched: ['khilafah']
L 856 | dei_path_e.14.d                        | In a solemn ceremony accompanied by prayers and traditional gamelan hymns in the great mosque, the Amir is consecrated as the spiritual and temporal guardian of Khilafah Islamiyah Nusantara. Green flags fly across every province. | matched: ['khilafah']
L 860 | dei_focus_f_sumpah_palapa_baru         | Pemenuhan Sumpah Palapa Baru                       | matched: ['sumpah', 'palapa', 'baru']
L 862 | dei_focus_f_restorasi_trowulan         | Restorasi Ibu Kota Suci Trowulan                   | matched: ['restorasi']
L 864 | dei_focus_f_dharmaputra                | Pembentukan Resimen Dharmaputra                    | matched: ['pembentukan', 'resimen']
L 866 | dei_focus_f_jung_raksasa               | Armada Jung Samudera Majapahit                     | matched: ['armada', 'jung']
L 868 | dei_focus_f_kitab_kutaramanawa         | Kodifikasi Hukum Kutaramanawa                      | matched: ['kodifikasi', 'hukum', 'kutaramanawa']
L 870 | dei_focus_f_penobatan_maharaja         | Penobatan Maharaja Nusantara Raya                  | matched: ['penobatan', 'maharaja']
L 874 | dei_path_f.10.t                        | The Sacred Renewal of Sumpah Palapa                | matched: ['sumpah', 'palapa']
L 875 | dei_path_f.10.d                        | Standing upon the ancient stone podium before a massive crowd of imperial subjects, the court chamberlain reads the sacred Sumpah Palapa. The nation swears never to rest until all archipelagic lands and seas are unified under one throne. | matched: ['sumpah', 'palapa']
L 883 | dei_path_f.13.t                        | Launch of the Imperial Jung Warships               | matched: ['jung']
L 886 | dei_path_f.14.t                        | Promulgation of Kutaramanawa Dharmasastra          | matched: ['kutaramanawa']
L 887 | dei_path_f.14.d                        | Royal judges read the ancient eighteen chapters of Kutaramanawa law in court. Unjust corruption, banditry, and disloyalty are met with swift imperial justice, restoring harmony (*kertaraharja*) throughout the realm. | matched: ['kutaramanawa']
L 889 | dei_path_f.15.t                        | The Coronation of the Supreme Maharaja             | matched: ['maharaja']
L 890 | dei_path_f.15.d                        | Trumpets, gongs, and sacred gamelan fanfare resound through the great throne hall of Trowulan. Crowned with the golden Makuta under the radiant Surya Majapahit emblem, the Maharaja is proclaimed Emperor of All Nusantara. | matched: ['maharaja']
L 891 | dei_path_f.15.a                        | Jayalah Majapahit! Dirgahayu Maharaja!             | matched: ['maharaja']
L 914 | dei_idea_agrarian_communes             | Kolektif Komune Tani                               | matched: ['komune', 'tani']
L 926 | dei_idea_karyawan_abri                 | Dwifungsi ABRI Administration                      | matched: ['dwifungsi']
L 938 | dei_idea_mujahidin_spirit              | Mujahidin Officer Cadre                            | matched: ['mujahidin']
L 946 | dei_idea_palapa_oath                   | Sumpah Palapa Vow                                  | matched: ['sumpah', 'palapa']
L 952 | dei_idea_kutaramanawa_law              | Kutaramanawa Justice                               | matched: ['kutaramanawa']
L 967 | dei_decision_doktrin_gerilya_wilayah   | Doktrin Perang Wilayah & Gerilya Semesta           | matched: ['gerilya', 'semesta']
L 969 | dei_decision_doktrin_gerilya_laut      | Doktrin Pertahanan Selat Dangkal & Gerilya Laut    | matched: ['selat', 'gerilya', 'laut']
L 971 | dei_decision_doktrin_dirgantara_taktis | Doktrin Superioritas Udara Taktis Khatulistiwa     | matched: ['udara']
L 975 | dei_decision_riset_mekanisasi_braat    | Pengembangan Panser Cepat Braat Surabaya           | matched: ['pengembangan']
L 981 | dei_decision_commission_armada_kri     | Modernisasi & Komisioning Armada Perang KRI        | matched: ['armada']
L 987 | dei_idea_doktrin_gerilya_laut          | Doktrin Gerilya Selat Dangkal                      | matched: ['gerilya', 'selat']
L1007 | DEI_KOMANDO                            | Resimen Komando & Pasukan Gerilya                  | matched: ['resimen', 'gerilya']
L1008 | DEI_KAVALERI                           | Resimen Kavaleri & Lapis Baja Nusantara            | matched: ['resimen']
L1053 | dei_proclaim_khilafah                  | Proclaim the Khilafah Islamiyah Nusantara          | matched: ['khilafah']
L1097 | INS_democratic_party_long              | Partai Nasional Indonesia                          | matched: ['partai']
L1101 | INS_communism_party_long               | Partai Komunis Indonesia                           | matched: ['partai']
L1102 | INS_fascism_party                      | Dewan Revolusi                                     | matched: ['dewan']
L1103 | INS_fascism_party_long                 | Dewan Pimpinan Tertinggi Revolusi                  | matched: ['dewan', 'tertinggi']
L1105 | INS_islamist_party_long                | Dewan Imam & Majelis Syuro NII                     | matched: ['dewan']
L1119 | INS_REPUBLIK_NKRI_party_long           | Partai Nasional Indonesia                          | matched: ['partai']
L1131 | INS_REPUBLIK_SOSIALIS_party_long       | Partai Sosialis Indonesia                          | matched: ['partai']
L1153 | INS_KOMUNIS_RRI                        | Republik Rakyat Indonesia                          | matched: ['rakyat']
L1157 | INS_KOMUNIS_RRI_party_long             | Partai Komunis Indonesia                           | matched: ['partai']
L1163 | INS_KOMUNIS_SOVIET_party_long          | Partai Komunis Indonesia - Seksi Komintern         | matched: ['partai']
L1165 | INS_KOMUNIS_FRONT                      | Front Demokrasi Rakyat Nusantara                   | matched: ['rakyat']
L1169 | INS_KOMUNIS_FRONT_party_long           | Front Demokrasi Rakyat                             | matched: ['rakyat']
L1175 | INS_OTORITER_NKRI_party                | Dewan Revolusi                                     | matched: ['dewan']
L1176 | INS_OTORITER_NKRI_party_long           | Dewan Pimpinan Tertinggi Revolusi                  | matched: ['dewan', 'tertinggi']
L1178 | INS_OTORITER_JUNTA                     | Komando Militer Revolusi Indonesia                 | matched: ['militer']
L1182 | INS_OTORITER_JUNTA_party_long          | Presidium Markas Besar Revolusi Militer            | matched: ['militer']
L1184 | INS_OTORITER_RAYA                      | Imperium Militer Indonesia Raya                    | matched: ['militer']
L1203 | INS_ISLAMIS_KHILAFAH                   | Khilafah Islamiyah Nusantara                       | matched: ['khilafah']
L1207 | INS_ISLAMIS_KHILAFAH_party_long        | Majelis Khilafah Islamiyah Nusantara               | matched: ['khilafah']
L1220 | INS_MAJAPAHIT_SURYA_party_long         | Dewan Saptaprabu Surya Wilwatikta                  | matched: ['dewan']
L1226 | INS_MAJAPAHIT_NUSANTARA_party_long     | Dewan Mahamenteri Nusantara Raya                   | matched: ['dewan']
L1234 | INS_ESCORT_REPUBLIK                    | KRI: Armada Ronda & Angkut Selat                   | matched: ['armada', 'selat']
L1242 | INS_ESCORT_KOMUNIS                     | Ronda & Logistik Rakyat                            | matched: ['rakyat']
L1243 | INS_CAPITAL_SHIPS_OTORITER             | KRI: Kapal Tempur Komando Dewan Revolusi           | matched: ['dewan']
L1246 | INS_ESCORT_OTORITER                    | KRI: Pengawal Garis Depan Samudra                  | matched: ['samudra']
L1247 | INS_CAPITAL_SHIPS_ISLAMIS              | Kapal Tempur Mujahidin & Benteng Tauhid            | matched: ['mujahidin', 'benteng']
L1251 | INS_CAPITAL_SHIPS_MAJAPAHIT            | Armada Jung Tempur Segara Wilwatikta               | matched: ['armada', 'jung']
L1252 | INS_DESTROYERS_MAJAPAHIT               | Armada Pasukan & Warastra Jalayanapati             | matched: ['armada']
L1253 | INS_SUBMARINES_MAJAPAHIT               | Armada Kapal Pusaka Siluman Segara                 | matched: ['armada']
L1254 | INS_ESCORT_MAJAPAHIT                   | Armada Jung Layar & Niaga Upacara                  | matched: ['armada', 'jung']
L1255 | DEI_OTORITER                           | Resimen Pengawal Dewan Revolusi & Pelopor Bela Negara | matched: ['resimen', 'dewan']
L1257 | INS_koninklijk_nederlands_indisch_leger | Modernisasi Angkatan Bersenjata                    | matched: ['angkatan']
L1263 | INS_the_flying_dutchmen                | Resimen Pasukan Payung Nusantara                   | matched: ['resimen']
L1265 | INS_ambonese_auxilaries                | Resimen Milisi Daerah Nusantara                    | matched: ['resimen']
L1271 | INS_the_royal_batavian_society         | Lembaga Ilmu Pengetahuan & Riset                   | matched: ['riset']
L1273 | INS_royal_scientific_cooperation       | Kerjasama Riset & Teknologi                        | matched: ['kerjasama', 'riset', 'teknologi']
L1347 | INS_institut_teknologi_bandung         | Institut Teknologi Bandung                         | matched: ['teknologi']
L1372 | DEI_maharaja_suryawikrama              | Sri Maharaja Suryawikrama                          | matched: ['maharaja']
L1373 | DEI_tan_malaka                         | Tan Malaka                                         | matched: ['malaka']
L1394 | dei_leadership.3.d                     | Under the crimson banners of the Hammer and Sickle, delegates from the PKI, peasant unions, and red militia battalions convene in Madiun. A decisive choice must be made between the orthodox Comintern line of Musso, the radical sovereign mass-action doctrine of Tan Malaka, and the socialist intellectual leadership of Amir Sjarifuddin. | matched: ['malaka']
L1396 | dei_leadership.3.b                     | Tan Malaka - Supreme Comrade of the Murba Revolution! | matched: ['malaka']
L1406 | dei_leadership.5.d                     | Eminent ulama, mujahidin commanders, and Islamic scholars assemble in Tasikmalaya to establish an Islamic polity (*Daulah Islamiyah*). Delegates deliberate over supreme leadership: unyielding Imam Sekarmaji Marijan Kartosuwiryo, visionary democratic statesman Mohammad Natsir, or esteemed traditionalist cleric K.H. Wahid Hasyim. | matched: ['mujahidin']
L1411 | dei_leadership.6.t                     | Pisowanan Agung di Keraton Trowulan                | matched: ['di']
L1412 | dei_leadership.6.d                     | Amid fragrant sandalwood incense and the echoing chimes of heirloom gamelan, hereditary princes, royal courtiers, and Dharmaputra knights assemble at the restored sanctuary of Trowulan. They seek to anoint the supreme ruler of Nusantara: consecrated descendant Sri Maharaja Suryawikrama, revered reformist monarch Sri Sultan Hamengkubuwono IX, or senior aristocratic regent K.R.M.T. Wuryaningrat. | matched: ['maharaja']
L1413 | dei_leadership.6.a                     | Sri Maharaja Suryawikrama - Divine Sovereign of Wilwatikta! | matched: ['maharaja']
L1420 | trait_dei_sukarno                      | Bung Karno - Penyambung Lidah Rakyat               | matched: ['rakyat']
L1436 | trait_dei_tan_malaka                   | Bapak Republik & Gerilya Murba                     | matched: ['gerilya']
L1445 | trait_dei_soeharto_leader              | Jenderal Pembangunan & Ketertiban                  | matched: ['pembangunan']
L1502 | trait_dei_simatupang                   | Kepala Staf Angkatan Perang                        | matched: ['angkatan']
L1506 | trait_dei_john_lie                     | Macan Selat Malaka                                 | matched: ['selat', 'malaka']
